Contact ID,Data-Zone
C-50,DZ-12
C-51,DZ-1
C-52,DZ-9
C-53,DZ-7
C-54,DZ-19
C-55,DZ-2
C-56,DZ-11
C-57,DZ-11
C-58,DZ-19
C-59,DZ-14
C-60,DZ-2
C-61,DZ-16
C-62,DZ-10
C-63,DZ-0
C-64,DZ-0
C-65,DZ-19
C-66,DZ-10
C-67,DZ-11
C-68,DZ-10
C-69,DZ-5
C-70,DZ-8
C-71,DZ-12
C-72,DZ-11
C-73,DZ-3
C-74,DZ-5
C-75,DZ-9
C-76,DZ-17
C-77,DZ-18
C-78,DZ-10
C-79,DZ-9
C-80,DZ-10
C-81,DZ-17
C-82,DZ-12
C-83,DZ-6
C-84,DZ-19
C-85,DZ-7
C-86,DZ-7
C-87,DZ-1
C-88,DZ-19
C-89,DZ-0
C-90,DZ-1
C-91,DZ-7
C-92,DZ-19
C-93,DZ-11
C-94,DZ-14
C-95,DZ-15
C-96,DZ-6
C-97,DZ-16
C-98,DZ-13
